seat_id,x,y,z
left_seats.135,17.5573,-5.7046,14.708
right_seats.135,17.5573,81.4061,14.708
left_seats.136,17.5573,-6.4896,15.1184
right_seats.136,17.5573,82.191,15.1184
left_seats.137,17.5573,-7.2745,15.5287
right_seats.137,17.5573,82.9759,15.5287
left_seats.138,17.5573,-8.0594,15.9391
right_seats.138,17.5573,83.7609,15.9391
left_seats.139,17.5573,-8.8444,16.3494
right_seats.139,17.5573,84.5458,16.3494
left_seats.140,17.5573,-9.6293,16.7598
right_seats.140,17.5573,85.3307,16.7598
left_seats.141,18.0294,-2.5649,13.0666
right_seats.141,18.0293,78.2663,13.0666
left_seats.142,18.0294,-3.3498,13.477
right_seats.142,18.0293,79.0513,13.477
left_seats.143,18.0294,-4.1348,13.8873
right_seats.143,18.0293,79.8362,13.8873
left_seats.144,18.0294,-4.9197,14.2977
right_seats.144,18.0293,80.6211,14.2977
left_seats.145,18.0294,-5.7046,14.708
right_seats.145,18.0293,81.4061,14.708
left_seats.146,18.0294,-6.4896,15.1184
right_seats.146,18.0293,82.191,15.1184
left_seats.147,18.0294,-7.2745,15.5287
right_seats.147,18.0293,82.9759,15.5287
left_seats.148,18.0294,-8.0594,15.9391
right_seats.148,18.0293,83.7609,15.9391
left_seats.149,18.0294,-8.8444,16.3494
right_seats.149,18.0293,84.5458,16.3494
left_seats.150,18.0294,-9.6293,16.7598
right_seats.150,18.0293,85.3307,16.7598
left_seats.151,18.5015,-2.5649,13.0666
right_seats.151,18.5014,78.2663,13.0666
left_seats.152,18.5015,-3.3498,13.477
right_seats.152,18.5014,79.0513,13.477
left_seats.153,18.5015,-4.1348,13.8873
right_seats.153,18.5014,79.8362,13.8873
left_seats.154,18.5015,-4.9197,14.2977
right_seats.154,18.5014,80.6211,14.2977
left_seats.155,18.5015,-5.7046,14.708
right_seats.155,18.5014,81.4061,14.708
left_seats.156,18.5015,-6.4896,15.1184
right_seats.156,18.5014,82.191,15.1184
left_seats.157,18.5015,-7.2745,15.5287
right_seats.157,18.5014,82.9759,15.5287
left_seats.158,18.5015,-8.0594,15.9391
right_seats.158,18.5014,83.7609,15.9391
left_seats.159,18.5015,-8.8444,16.3494
right_seats.159,18.5014,84.5458,16.3494
left_seats.160,18.5015,-9.6293,16.7598
right_seats.160,18.5014,85.3307,16.7598
left_seats.161,18.9736,-2.5649,13.0666
right_seats.161,18.9735,78.2663,13.0666
left_seats.162,18.9736,-3.3498,13.477
right_seats.162,18.9735,79.0513,13.477
left_seats.163,18.9736,-4.1348,13.8873
right_seats.163,18.9735,79.8362,13.8873
left_seats.164,18.9736,-4.9197,14.2977
right_seats.164,18.9735,80.6211,14.2977
left_seats.165,18.9736,-5.7046,14.708
right_seats.165,18.9735,81.4061,14.708
left_seats.166,18.9736,-6.4896,15.1184
right_seats.166,18.9735,82.191,15.1184
left_seats.167,18.9736,-7.2745,15.5287
right_seats.167,18.9735,82.9759,15.5287
left_seats.168,18.9736,-8.0594,15.9391
right_seats.168,18.9735,83.7609,15.9391
left_seats.169,18.9736,-8.8444,16.3494
right_seats.169,18.9735,84.5458,16.3494
left_seats.170,18.9736,-9.6293,16.7598
right_seats.170,18.9735,85.3307,16.7598
left_seats.171,19.4456,-2.5649,13.0666
right_seats.171,19.4456,78.2663,13.0666
left_seats.172,19.4456,-3.3498,13.477
right_seats.172,19.4456,79.0513,13.477
left_seats.173,19.4456,-4.1348,13.8873
right_seats.173,19.4456,79.8362,13.8873
left_seats.174,19.4456,-4.9197,14.2977
right_seats.174,19.4456,80.6211,14.2977
left_seats.175,19.4456,-5.7046,14.708
right_seats.175,19.4456,81.4061,14.708
left_seats.176,19.4456,-6.4896,15.1184
right_seats.176,19.4456,82.191,15.1184
left_seats.177,19.4456,-7.2745,15.5287
right_seats.177,19.4456,82.9759,15.5287
left_seats.178,19.4456,-8.0594,15.9391
right_seats.178,19.4456,83.7609,15.9391
left_seats.179,19.4456,-8.8444,16.3494
right_seats.179,19.4456,84.5458,16.3494
left_seats.180,19.4456,-9.6293,16.7598
right_seats.180,19.4456,85.3307,16.7598
left_seats.181,19.9177,-2.5649,13.0666
right_seats.181,19.9177,78.2663,13.0666
left_seats.182,19.9177,-3.3498,13.477
